Sample in Buffer,Sample in Window,TRIGGER,dac_inst/in_clk,dac_inst/in_reset,dac_inst/in_sdo,dac_inst/p_0_in11_in,dac_inst/out_sclk,dac_inst/out_ss,dac_inst/out_sdio,dac_inst/out_data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,1,0,1,1,1,0,ffff
1,1,0,0,1,0,1,1,1,0,ffff
2,2,0,0,1,0,1,1,1,0,ffff
3,3,0,0,1,0,1,1,1,0,ffff
4,4,0,0,1,0,1,1,1,0,ffff
5,5,0,0,1,0,1,1,1,0,ffff
6,6,0,0,1,0,1,1,1,0,ffff
7,7,0,0,1,0,1,1,1,0,ffff
8,8,0,0,1,0,1,1,1,0,ffff
9,9,0,0,1,0,1,1,1,0,ffff
10,10,0,0,1,0,1,1,1,0,ffff
11,11,0,0,1,0,1,1,1,0,ffff
12,12,0,0,1,0,1,1,1,0,ffff
13,13,0,0,1,0,1,1,1,0,ffff
14,14,0,0,1,0,1,1,1,0,ffff
15,15,0,0,1,0,1,1,1,0,ffff
16,16,0,0,1,0,1,1,1,0,ffff
17,17,0,0,1,0,1,1,1,0,ffff
18,18,0,0,1,0,1,1,1,0,ffff
19,19,0,0,1,0,1,1,1,0,ffff
20,20,0,0,1,0,1,1,1,0,ffff
21,21,0,0,1,0,1,1,1,0,ffff
22,22,0,0,1,0,1,1,1,0,ffff
23,23,0,0,1,0,1,1,1,0,ffff
24,24,0,0,1,0,1,1,1,0,ffff
25,25,0,0,1,0,1,1,1,0,ffff
26,26,0,0,1,0,1,1,1,0,ffff
27,27,0,0,1,0,1,1,1,0,ffff
28,28,0,0,1,0,1,1,1,0,ffff
29,29,0,0,1,0,1,1,1,0,ffff
30,30,0,0,1,0,1,1,1,0,ffff
31,31,0,0,1,0,1,1,1,0,ffff
32,32,0,0,1,0,1,1,1,0,ffff
33,33,0,0,1,0,1,1,1,0,ffff
34,34,0,0,1,0,1,1,1,0,ffff
35,35,0,0,1,0,1,1,1,0,ffff
36,36,0,0,1,0,1,1,1,0,ffff
37,37,0,0,1,0,1,1,1,0,ffff
38,38,0,0,1,0,1,1,1,0,ffff
39,39,0,0,1,0,1,1,1,0,ffff
40,40,0,0,1,0,1,1,1,0,ffff
41,41,0,0,1,0,1,1,1,0,ffff
42,42,0,0,1,0,1,1,1,0,ffff
43,43,0,0,1,0,1,1,1,0,ffff
44,44,0,0,1,0,1,1,1,0,ffff
45,45,0,0,1,0,1,1,1,0,ffff
46,46,0,0,1,0,1,1,1,0,ffff
47,47,0,0,1,0,1,1,0,0,ffff
48,48,0,0,1,0,1,1,0,0,ffff
49,49,0,0,1,0,1,1,0,0,ffff
50,50,0,0,1,0,1,0,0,0,ffff
51,51,0,0,1,0,1,0,0,0,0000
52,52,0,0,1,0,1,0,0,0,0000
53,53,0,0,1,0,1,0,0,0,0000
54,54,0,0,1,0,1,0,0,0,0000
55,55,0,0,1,0,1,0,0,0,0000
56,56,0,0,1,0,1,1,0,0,0000
57,57,0,0,1,0,1,1,0,0,0000
58,58,0,0,1,0,1,1,0,0,0000
59,59,0,0,1,0,1,1,0,0,0000
60,60,0,0,1,0,1,1,0,0,0000
61,61,0,0,1,0,1,1,0,0,0000
62,62,0,0,1,0,1,0,0,0,0000
